 Why is it useful to convert a DPGM to an UPGM?	 Because determining conditional independence relationships is easier by using simple graph separation.	 PGMs, Conversion
 What do you need to do when converting chain or tent structures from a DPGM to a UPGM?	 Drop the orientation of the edges	 PGMs, Conversion
 What do you need to do when converting collider structures from a DPGM to a UPGM?	 Add an edge between the co-parents and drop the orientation	 PGMs, Conversion
 What is moralization in the context of PGMs?	 Converting a DPGM into an UPGM using the previous rules.	 PGMs, Conversion, Moralization
 What is an ancestral graph?	 A graph that takes into consideration only a specific set of variables.	 PGMs, Conversion, Moralization
 Why do you use MCMC for sampling from UPGMs?	 Because it can be quite slow to do otherwise.	 PGMs, Undirected, Generation
" What is ""inference"" about in UPGMs?"	 About computing the posterior distribution over nodes.	 PGMs, Undirected, Inference
 Why is the learning process computationally expensive in UPGMs?	 Because the partition function is doubly intractable	 PGMs, Undirected, Learning
 What are CRF?	 Conditional Random Fields.	 PGMs, CRFs
 What is the core difference between Directed PGMs and Undirected PGMs?	 The use and absence of edge directions.	 PGMs, Comparison
 What are Factor Graphs?	 Graphical models that explicitly represent factors in a factorization.	 PGMs, Factor Graphs
 What are Bipartite factor graphs?	 Factor graphs that have nodes separated by types.	 PGMs, Factor Graphs
 What are Forney Factor Graphs?	 Factor graphs where the factors are represented as nodes.	 PGMs, Factor Graphs
 What is a Structural Causal Model?	 A triple that combines exogenous, endogenous variables and functions.	 PGMs, Structural Causal Models
 What does the causal Markov assumption states?	 That all of the causal relevant factors are included in the model.	 PGMs, Structural Causal Models
 What is a structural equation model?	 A structural causal model with linear functional relationships and Gaussian exogenous variables.	 PGMs, Structural Equation Models
" What is ""do operator"" in Structural Causal Models?"	 An action that sets a variable to a given value, which makes the graph causal.	 PGMs, Interventions
 What are counterfactuals?	 Reasoning about what would have happened if things had been different.	 PGMs, Counterfactuals
 How are observational and interventional studies defined in regards to counterfactuals?	 observational studies predict effects of causes, interventional studies predict causes of effects.	 PGMs, Counterfactuals
 What are Monte Carlo methods?	 Stochastic approaches for solving numerical integration problems.	 MC, Intro
 What is the general idea of Monte Carlo integration?	 To approximate an integral by averaging function values at random samples.	 MC, Intro
 What is the Monte Carlo approximation of an expectation?	 1/Ns * sum from n=1 to Ns of φ(x_n) where x_n is a sample drawn from pi(x)	 MC, Integration
 What is a key advantage of Monte Carlo Integration?	 Its accuracy is independent of the dimensionality of x.	 MC, Integration
 Why is the importance sampling algorithm needed?	 It is hard to sample from the target distribution directly	 MC, Importance Sampling
 In importance sampling, from where do we obtain samples?	 From a proposal distribution, q(x)	 MC, Importance Sampling
 In importance sampling, how do we account for inaccuracy of using proposal distribution?	 By associating weights with each sample.	 MC, Importance Sampling
 What is a requirement for the proposal distribution in importance sampling?	 Its support must cover the support of the target distribution, supp(q) ⊇ supp(π)	 MC, Direct Importance Sampling
 What is Direct Importance Sampling?	 When the target distribution can be evaluated analytically but not sampled directly from	 MC, Direct Importance Sampling
 What are the weights associated with the samples in Direct Importance Sampling?	 They are given by π(xn) / q(xn).	 MC, Direct Importance Sampling
 What is self-normalized importance sampling used for?	 Used when we can only evaluate the unnormalized target distribution	 MC, Self-Normalized
 What does the self-normalized method approximate with importance sampling?	 the normalization constant	 MC, Self-Normalized
 What happens to the bias of the estimator in self normalized Importance sampling as the number of samples increases?	 It goes to zero under some weak assumptions	 MC, Self-Normalized
 How can a good proposal be learned for importance sampling?	 By optimizing the ELBO	 MC, Proposal
 What is the standard error in a Monte Carlo Estimate?	 O(1/sqrt(S)). S is the number of (independent) samples	 MC, Variance
 How can we reduce the variance in MC estimates?	 By using Rao-Blackwellization	 MC, Rao-Blackwellization
 When using Rao-Blackwellization, what do you need to be able to do?	 Analytically marginalize out some variables	 MC, Rao-Blackwellization
 Does the Rao-Blackwellization change bias?	 No, it's unbiased and has lower variance	 MC, Rao-Blackwellization
 What is a key use of MCMC methods?	 Sampling from high-dimensional distributions.	 MCMC, Intro
 What is a key part of the MCMC algorithm construction?	 Construct a Markov chain whose stationary distribution is the target density.	 MCMC, Intro
" In MCMC, what is a ""random walk""?"	 We perform a random walk on the state space so that the fraction of time we spend in each state is proportional to the target distribution.	 MCMC, Intro
" What does the ""mixing time"" in MCMC refer to?"	 The time it takes for the Markov chain to reach stationarity.	 MCMC, Intro
 In MCMC, what do you do with the initial samples of the chain?	 Discard them because they do not come from the stationary distribution.	 MCMC, Intro
 What does the Metropolis Hastings Algorithm allow you to do?	 Generate samples from a target distribution using a proposal distribution	 MCMC, MH
 What is the key principle of Metropolis Hastings algorithm?	 Decide whether to accept a new proposal or reject it based on acceptance probability	 MCMC, MH
 If a proposed state is more likely than the current state, will it always be accepted in MH Algorithm?	 Yes	 MCMC, MH
 What does symmetric proposal in MH mean?	 q(x' | x) = q(x | x').	 MCMC, MH
 What is acceptance probability in Metropolis Hastings algorithm?	 min(1, pi(x')/pi(x)).	 MCMC, MH
 What is needed in the MH algorithm if the proposal is asymmetric?	 Hastings Correction	 MCMC, MH
 What does Hastings correction take into account?	 The proposal distribution and target distribution	 MCMC, MH
 How does the Gibbs Sampling improve upon MH?	 By automatically creating a good proposal distribution, with acceptance probability always 1.	 MCMC, Gibbs Sampling
 What does Gibbs sampling exploit?	 Conditional independence of the distribution.	 MCMC, Gibbs Sampling
 What does the full conditional refer to in Gibbs sampling?	 the conditional distribution of a variable given all other variables in the model.	 MCMC, Gibbs Sampling
 In Gibbs sampling, what variables are updated at each step?	 Only one variable at each time.	 MCMC, Gibbs Sampling
 What should we do if we cannot sample from a full conditional distribution when using Gibbs Sampling?	 We can use Metropolis Within Gibbs, by using a proposal distribution q.	 MCMC, Metropolis Within Gibbs
 What does Hamiltonian Monte Carlo (HMC) use?	 Gradient information to guide the local moves.	 MCMC, HMC
" In MCMC, what does ""burn-in phase"" refer to?"	 Initial period where the samples will be ignored.	 MCMC, Convergence
 Why do we need to plot trace plots in MCMC?	 To check if the method has converged	 MCMC, Convergence
 When you plot trace plots, what are you looking for?	 That plots converge to the same distribution, i.e., the chains are mixing	 MCMC, Convergence
 Is it sufficient for MCMC chain to have reached its stationary distribution?	 No, we must also consider the fact that the samples are not independent and hence a lot of samples are needed	 MCMC, Convergence
 What is an important term when evaluating results of a MCMC?	 Effective sample size	 MCMC, Convergence
 What does Variational Inference (VI) reduce posterior inference to?	 Optimization	 VI, Intro
 In VI, what are the three components considered in a model?	 Unknown (latent) variables (z), known variables (x), fixed parameters (θ)	 VI, Intro
 What is the goal of VI in regards to posterior inference?	 To approximate the posterior distribution because it's intractable to compute.	 VI, Intro
 What is the KL divergence used for in VI?	 To measure the difference between the approximate posterior q(z) and the true posterior p(z|x)	 VI, Intro
 How do we practically handle the intractable posterior?	 By picking a parametric family Q with variational parameters, call ψ.	 VI, Introduction
 What is the variational free energy in VI?	 A function we minimize to find the approximate posterior (or equivalently, maximise ELBO).	 VI, ELBO
 What does ELBO stand for?	 Evidence Lower Bound	 VI, ELBO
 How is the ELBO related to the true log-evidence?	 It's a lower bound, i.e., L(θ,ψ|x) <= log p(x).	 VI, ELBO
 What is the first term in the ELBO equation?	 The expected log joint, E[log p(x,z)]	 VI, ELBO
 What does the entropy term in ELBO encourage?	 The posterior to have maximum entropy.	 VI, ELBO
 What does the KL term in ELBO act as?	 A regularizer, preventing the posterior from diverging too much from the prior.	 VI, ELBO
 Describe Fixed-form VI.	 Picking a convenient functional form for the variational distribution (e.g., multivariate Gaussian) and optimizing the ELBO.	 VI, Approaches
 Describe Free-form VI.	 Making the mean-field assumption that the posterior factorizes into independent distributions.	 VI, Approaches
 What is the mean-field assumption?	 The posterior factorizes as q_ψ(z) = Π q_j(z_j)	 VI, Mean-Field
 In Free-form VI, what do we derive from maximizing the ELBO wrt each group of variational parameters one at a time?	 Optimal distribution form.	 VI, Free-Form
" What does it mean if the approximate posterior has a ""full covariance matrix""?"	 It can match the exact posterior but is intractable in high dimensions.	 VI, Example
" What happens when a ""diagonal covariance matrix"" is used in VI?"	 The approximation is often overconfident.	 VI, Example
 How do we maximize likelihood in the presence of latent variables and parameters	 By maximizing the ELBO	 VI, Parameter Estimation
 What does the Variational EM algorithm alternate between?	 Maximizing the ELBO wrt variational parameters (E-step) and maximizing the ELBO wrt model parameters (M-step).	 VI, Parameter Estimation
 What is the alternative to Variational EM algorithm when it comes to parameter estimation?	 Stochastic VI	 VI, Parameter Estimation
 What do we do when using the gradient-based methods for VI?	 We choose a convenient form for the approximation and optimize the ELBO using gradient-based methods	 VI, Gradients
 When using SGD in VI, what do you need?	 An unbiased estimate of the gradient of the ELBO	 VI, Gradients
 How are generative parameters updated in gradient based methods for VI?	 By pushing gradients inside the expectation with a single Monte Carlo sample.	 VI, Gradients
 Why do we use Reparameterization in gradient descent for inference parameters?	 Because we cannot push gradients inside the expectation with regular Monte Carlo approximation.	 VI, RVI
 What is reparameterization trick?	 Rewriting z ~ qψ(z) as differentiable transformation of epsilon ~ p(epsilon), i.e. z = h(ψ, x, ϵ).	 VI, RVI
 What are two advantages of using a reparameterization trick?	 1. Allows us to push gradients inside the expectation. 2. Change of variables formula	 VI, RVI
 What does the score function estimator allows us to do in VI?	 Estimate the gradient of ELBO when we cannot compute it analytically.	 VI, Blackbox
 What does the BBVI method allow you to compute?	 A Monte Carlo approximation to gradient based on the score function estimator.	 VI, Blackbox
 What does CAVI stand for?	 Coordinate Ascent Variational Inference	 VI, CAVI
 What does CAVI allow us to do?	 Optimize each variable by using a mean field approximation scheme	 VI, CAVI
 When using CAVI, what is the convergence guarantee?	 The ELBO is guaranteed to converge since the bound is concave wrt each factor qj.	 VI, CAVI
 What are variational bayes in regards to variational inference?	 We treat the parameters as latent variables and maximize the ELBO over all latent and parameter variables	 VI, Variational Bayes
 In variational Bayes, what do we assume in regards to the variational posterior?	 We assume that the variational posterior factorizes.	 VI, Variational Bayes
 What are some problems with lower bound maximization in standard VI?	 It leads to zero-forcing behavior, which means the approximate posterior can be too compact.	 VI, Goodies
 What do we minimize in order to avoid the zero-forcing behavior?	 DKL(p||q).	 VI, Goodies
 What is the binomial distribution used for?	 Modeling the number of successes in a fixed number of independent Bernoulli trials.	
 What is the categorical distribution used for?	 Modeling the probability of a variable taking on one of K different categories.	
 What is the Poisson distribution used for?	 Modeling the number of events occurring in a fixed interval of time if events occur at a constant rate and are independent.	
 What are the parameters of the Gamma distribution?	 a and b, where a is a shape parameter and b is a rate parameter. The Gamma distribution has support on R+.	
 What is the Beta distribution used for?	 Modeling a probability. The Beta distribution has support on the [0,1] interval.	
 What are the parameters of the Gaussian distribution?	 μ (mean) and σ² (variance).	
 What is the central limit theorem?	 The distribution of sample means from large samples tends towards a Gaussian distribution, regardless of the underlying distribution.	
" Why is the Gaussian distribution ""not robust""?"	 Sensitive to outliers due to exponentially fast decaying tails.	
 Give examples of more robust distributions.	 Laplace, Student t, Cauchy.	
 What are the parameters of the multivariate normal distribution?	 μ (mean vector) and Σ (covariance matrix).	
 What are different forms of the covariance matrix in the multivariate Gaussian?	 Full, Diagonal, and Spherical.	
 What is a mixture of Gaussian models (GMM)?	 A probability distribution constructed as a weighted sum of multiple Gaussian distributions.	
 What is a Matrix Normal distribution used for?	 Modeling matrix-valued random variables.	
 What is the Wishart distribution used for?	 Modeling covariance matrices.	
 What is the Dirichlet distribution used for?	 Modeling probability vectors (unit simplex).	
 Define conditional probability.	 P(A|B) = P(A ∩ B) / P(B)	
 How can the joint probability be rewritten using conditional probability?	 P(A ∩ B) = P(A|B)P(B) = P(B|A)P(A)	
 What does conditional probability measure?	 It measures how likely an event A is, given that event B has happened.	
 State the law of total probability.	 If {Aᵢ} forms a partition of Ω, then P(B) = ΣᵢP(B|Aᵢ)P(Aᵢ)	
 What does it mean for two events to be independent?	 P(A ∩ B) = P(A)P(B) or, equivalently, P(A|B) = P(A)	
 What does it mean for two events to be conditionally independent given a third event?	 P(A ∩ B | C) = P(A | C)P(B | C)	
 State Bayes' rule for events.	 P(E₁|E₂) = P(E₂|E₁)P(E₁) / P(E₂)	
 State Bayes' rule for the discrete case.	 p(X = k | E) = [p(E | X = k)p(X = k)] / [Σₖ'p(E | X = k')p(X = k')]	
 State Bayes' rule for the continuous case.	 p(x | E) = [p(E | x)p(x)] / [∫ₛ p(E | x')p(x')dx']	
 What is a Markov chain?	 A sequence of random variables where the probability of each future state depends only on the present state and not on past states.	
 State the Markov property.	 P(xt+τ | x₁, ..., xt) = P(xt+τ | xt)	
 What is a Markov model?	 A model based on the Markov property and can be described by the conditional probabilities of moving from one state to another.	
 What is a stationary Markov model?	 A Markov model where the probability of transitions does not depend on time.	
 What is a finite-state Markov chain?	 A Markov chain where the state space is finite.	
 What is a transition matrix?	 A matrix that represents the probabilities of transitioning between states in a Markov chain.	
 What is a stochastic matrix?	 A square matrix with non-negative entries such that the rows sum to 1.	
 What is an n-step transition matrix?	 A transition matrix that represents transition probabilities over n steps.	
 State the Chapman-Kolmogorov equation.	 Aij(m + n) = Σₖ Aᵢₖ(m)Aₖⱼ(n).	
 What does a Stationary distribution capture, and how is it denoted?	 The long-term distribution over states; denoted by π.	
 What is a probability space?	 A probability space is a triple (Ω, F, P) where  Ω is the sample space, F is the event space (a σ-algebra), and P is the probability measure.	
 What is the sample space (Ω)?	 The set of all possible outcomes of a random experiment.	
 What is the event space (F)?	 A collection of subsets of the sample space Ω; a σ-algebra.	
 What is a σ-algebra?	 A collection F of subsets of Ω that includes the empty set and Ω, is closed under complementation, and closed under countable unions and intersections.	
 What is the probability measure (P)?	 A function P  F → [0,1] that assigns a probability to each event in the event space F, and that satisfies the Kolmogorov axioms.	
 List the Kolmogorov axioms.	 (1) P(E) ≥ 0 for all E in F. (2) P(Ω) = 1. (3) For disjoint events, P(∪ᵢEᵢ) = ΣᵢP(Eᵢ).	
" What does ""only finite additivity"" imply about the Kolmogorov axioms?"	 The additivity axiom only holds for finite sets of disjoint events, rather than countable sets. (Subjectivist approach to probability de Finetti).	
 What is meant by super/subadditivity in probability?	 Relaxation of the standard additivity axiom; can represent imprecise probabilities where probabilities are given by intervals. (Imprecise Approach to Probability Walley (1991); Augustin et al. (2014)).	
 What is a random variable?	 A function that assigns a number to each outcome in the sample space.	
 What is a discrete random variable?	 A random variable whose range is countable.	
" What is the ""state space"" of a random variable?"	 The range of the random variable, i.e. the set of all possible values it can take.	
 What is a probability mass function (pmf)?	 A function that gives the probability of each discrete value of a random variable.	
 How do you represent a pmf?	 As a histogram or a parametric function.	
 What is a continuous random variable?	 A random variable that can take any value within a given range, i.e. non-countable.	
 What is the Lebesgue measure?	" A way to measure the length of intervals on the real line, and to quantify the ""size"" of sets, that is a generalization of the notion of length, area, and volume."	
 What is the Radon-Nikodym derivative?	 If probability P is absolutely continuous with respect to the Lebesgue measure (l), then the Radon-Nikodym derivative dP/dl exists, which is called the probability density function (pdf).	
 What is a probability density function (pdf)?	 A function, for a continuous random variable, whose integral over an interval is the probability of the variable falling in that interval.	
 What is a cumulative distribution function (cdf)?	 A function that gives the probability that a random variable is less than or equal to a given value.	
 How is the cdf defined for a continuous random variable?	 F(x) = P(X ≤ x) = ∫₋∞ˣ p(x')dx'	
 How does statistics differ from probability theory?	 Probability theory models outcomes given known parameters, statistics infers unknown parameters given observations.	
 What is Bayesian statistics?	 A framework for statistical inference that treats parameters as random variables and uses prior beliefs and observed data to compute posterior distributions.	
 What does the posterior distribution capture?	 The probability distribution of the parameters given observed data and prior beliefs.	
 What is a prior distribution?	 A probability distribution over parameters that represents our beliefs before observing the data.	
 What is the likelihood?	 The probability of the observed data given a specific parameter value.	
 What is the marginal likelihood?	 The probability of the observed data regardless of the value of parameters.	
 What is a Maximum A Posteriori (MAP) estimate?	 The parameter value that maximizes the posterior distribution.	
 How does MAP relate to Maximum Likelihood Estimation (MLE)?	 If a uniform prior is used in MAP, the MAP estimate becomes the MLE estimate.	
 When is the EM algorithm used, and what does it stand for?	 Expectation Maximization, used when probability models involve missing data/hidden variables to find MLE or MAP estimates.	
 What are Highest Density Regions (HDRs)?	 Parameter regions containing a specified percentage of the posterior probability mass with the narrowest interval for each percentage.	
 What is the posterior predictive distribution?	 The probability distribution of a new outcome given the observed data.	
 How does Bayesian inference avoid overfitting in ML problems?	 By integrating over the unknown parameters.	
 What is frequentist statistics?	 A framework for statistical inference that treats parameters as fixed and uses sampling distributions to quantify uncertainty.	
 What is an estimator in frequentist statistics?	 A decision procedure that specifies the action to take when given some observed data.	
 What is the sampling distribution?	 The distribution of an estimator if we repeat the experiment many times.	
 What is the parametric bootstrap?	 Approximating the sampling distribution using the estimated parameters to resample new datasets.	
 What does the asymptotic normality of the sampling distribution of the MLE state?	 The sampling distribution of the MLE converges to a Gaussian distribution with mean equal to the true parameter and precision equal to the Fisher Information matrix.	
 What are some drawbacks of Frequentist Statistics?	 Can have counter-intuitive properties; and struggles to represent prior knowledge.	
 What is a conjugate prior?	 A prior distribution where the posterior distribution is within the same family of distributions.	
 Why are conjugate priors used?	 To simplify the computation of the posterior.	
 What is a noninformative prior?	 A prior distribution that is designed to have a minimal effect on the posterior distribution.	
 What are hierarchical priors?	 Priors that have their own prior distributions (hyperparameters).	
 What is Empirical Bayes?	 An approach to setting the prior where the hyperparameters are first estimated using the data.	
 Define model selection.	 The process of selecting the best model from a set of different models.	
 Define model checking.	 Assessing the validity of a statistical model.	
